city_id,utcOffset,station,station_id,url,station_name,station_description,station_genre,station_url
BFZdTKGw,-300,WOMT 1240 AM,XAfPY1l0,/listen/womt-1240-am/XAfPY1l0,StreamMyStation.com - WOMT,,Oldies/Sports,http://womtradio.com
o5ZJ7lQK,120,DeeGay Italia,XAsmQ5Uq,/listen/dee-gay-italia/XAsmQ5Uq,DeeGay Italia,,Italian Music,https://www.deegay.fm
k-fT0caq,-240,Majic FM 99.3,XAx4gaK6,/listen/majic-fm-99-3/XAx4gaK6,,,Adult Contemporary,
fhp9pBJO,120,Havenstad Radio,XBXhlAmP,/listen/havenstad-radio/XBXhlAmP,,,Misc,http://www.havenstadradio.com
Rl8JdqIj,120,Radio green tao world,XD8YKWAl,/listen/radio-green-tao-world/XD8YKWAl,radio green tao world,,blues i ching pratice,http://www.shoutcast.com
6T2KBvVH,180,Новый мир 103.6 FM,XDUGGf1_,/listen/novyj-mir-103-6-fm/XDUGGf1_,Radio New World,,,http://www.1036fm.ru
8U6N2ZBC,-300,RMM Estéreo,XFpBAykN,/listen/rmm-estereo/XFpBAykN,RMM Estereo Stream,,Variado,https://www.rmmestereo.com
5YFjEtAG,120,Radio Fresh,XGVLgaA8,/listen/radio-fresh/XGVLgaA8,RADIO FRESH,,Pop,https://www.radiofresh.it
3QbMs4L3,120,1A Relax,XGcZZ2qs,/listen/radio-1a-relax/XGcZZ2qs,- 1 A - Relax von 1A Radio,"Stressfreier Pop, Soul, Rock und R&B von den 70ern bis jetzt.","Ambient, Easy Listening, Electro, Chillout",http://www.1aradio.com
B7DS4V1m,120,Feel Good,XGuL0sTI,/listen/feel-good/XGuL0sTI,FEEL GOOD,,Soul Funk Disco,https://www.radiofeelgood.fr
B7DS4V1m,120,Radio AC'S,XHmrC38o,/listen/radio-ac-s/XHmrC38o,Radio AC'S,La radio proche de vous.,Culture Local Sport FrenchPop/Rock,https://radioacs.radio-website.com/
hz9pJBQ6,-300,Christmas 365 - Santa's Radio,XKFzZ3rU,/listen/streamlicensing/XKFzZ3rU,Christmas 365 - Santa's Radio,,"Christmas, Seasonal and Holiday",http://xmas365.fm
pHPTgRva,-300,Ah! World Music,XKVUolfU,/listen/ah-world-music/XKVUolfU,ah world music a.c. Stream,,Misc,http://localhost/
E0LCmyFy,-300,InSpiritRadio,XLLBlNDR,/listen/in-spirit-radio/XLLBlNDR,InSpiritRadio,InSpiritRadio,TBD,InSpiritRadio.online
n2jfDYCC,120,Antenne 1,XLV5ieo0,/listen/antenne1/XLV5ieo0,antenne 1 Stuttgart,Region Stuttgart,antenne 1 Stuttgart,http://www.antenne1.de
3tDqhsSX,480,Progresif Radio,XLZKbPXN,/listen/progresif-radio/XLZKbPXN,Progresif Radio 2021,,,http://www.shoutcast.com
