city_id,latitude,longitude,city,country
BSKlYBDT,-13.863823,28.396801,Castillo Caleta de Fuste,Spain
rovcxmbQ,-5.105218,56.819817,Fort William,United Kingdom
x4C5pWUY,-0.921517,52.47577,Market Harborough,United Kingdom
lWileswx,7.5335364,46.294132,Sierre,Switzerland
r18uzcbj,11.102228,43.877705,Prato,Italy
oHcdAaW1,-82.998795,39.961174,Columbus OH,United States
GAJkoGnR,-85.40116,44.251953,Cadillac MI,United States
iqf7qzhW,-74.171814,40.916767,Paterson NJ,United States
TOUmo41u,-2.1968694,54.30383,Hawes,United Kingdom
nAjJm-1b,-57.140785,-26.670717,San Juan Bautista,Paraguay
Vj3ZxS9z,-46.56485,-23.689842,São Bernardo do Campo SP,Brazil
cw3z8qzf,-34.920876,-8.168813,Jaboatão dos Guararapes PE,Brazil
FCsrK4Jb,14.415789,45.854977,Beč,Slovenia
5mCHGi4l,136.9659,50.56703,Komsomolsk-on-Amur,Russia
71aVUJpU,58.405922,23.58589,Muscat,Oman
oTskK4kG,13.007584,50.578587,Annaberg-Buchholz,Germany
ErkeHIjw,10.947778,43.71789,Empoli,Italy
Ck96Cxp4,-86.79678,33.610283,Fultondale AL,United States
KZ0TaR9b,-42.81919,-22.9161,Maricá RJ,Brazil
f6XTVcGH,-93.2923,37.208958,Springfield MO,United States
CPyHRxvU,-94.7977,29.301348,Galveston TX,United States
HCeyA5I7,5.733107,58.969975,Stavanger,Norway
bWuEHiSJ,4.982845,51.31776,Oud-Turnhout,Belgium
enCtUacB,28.22927,-25.747868,Pretoria,South Africa
C22Z2Y4N,-87.91085,30.668516,Spanish Fort AL,United States
hvBgBof9,-1.1581086,52.954784,Nottingham,United Kingdom
895Ixhke,-70.71032,7.0766354,Arauca,Colombia
owcqSHuC,8.723689,47.49882,Winterthur,Switzerland
iDi8UaTA,23.623636,46.77121,Cluj-Napoca,Romania
Q43GfufG,8.515494,47.16617,Zug,Switzerland
CorVkjtq,18.840296,42.29115,Budva,Montenegro
BIGmqu4S,12.243143,42.157562,Trevignano Romano,Italy
f4aAlRdX,-118.087715,45.324577,La Grande OR,United States
ZyFOX7D3,5.2433925,52.299465,Huizen,Netherlands
b1uHnL2v,14.233161,41.596043,Isernia,Italy
keEPnOlj,-0.547876,51.428825,Egham,United Kingdom
5KZiwgIV,3.8107085,50.86955,Zottegem,Belgium
tfZicc9h,13.720088,43.158875,Fermo,Italy
dRG06arQ,7.823571,47.65186,Schopfheim,Germany
DJldjLE_,-95.75078,30.20938,Magnolia TX,United States
G0WFb6EL,-84.34609,46.52186,Sault Ste. Marie,Canada
vEu8bgFt,82.93573,55.008354,Novosibirsk,Russia
RWnzrZaw,-67.46953,7.8806887,San Fernando de Apure,Venezuela
JBm5nuT9,-79.76242,43.73155,Brampton,Canada
q2gXIuHJ,106.82275,-6.174465,Jakarta,Indonesia
fvC1cXCI,-79.30788,45.038956,Bracebridge,Canada
fJRiKrSN,101.68685,3.139003,Kuala Lumpur,Malaysia
5rONQ7q1,-93.21851,36.643673,Branson MO,United States
6JtsfHfi,-73.01934,40.76598,Patchogue NY,United States
uLweoUZy,14.108032,41.78399,Castel di Sangro,Italy
nwq4u2at,-43.785023,-20.66393,Conselheiro Lafaiete MG,Brazil
De6MxFii,6.1431575,46.20439,Geneva,Switzerland
RdZtbE8h,-71.745514,6.457094,Tame,Colombia
IKs3xhvk,28.3,-26.166668,Ekurhuleni,South Africa
QVkMc1Cg,22.570398,40.997196,Polykastro,Greece
vFPfo5Au,-75.47942,10.391048,Cartagena,Colombia
ZS9EN3jr,-88.70366,32.36431,Meridian MS,United States
WSWTvoBt,13.873818,45.70935,Sežana,Slovenia
ZpltcdTV,-48.490196,-1.4557794,Belém PA,Brazil
1J9Me1fU,-1.559458,54.52361,Darlington,United Kingdom
oIcIiARs,-116.59998,31.829882,Ensenada,Mexico
rFFOtEq3,9.732011,52.375893,Hanover,Germany
MO6QoPSh,3.888808,48.508705,Méry-sur-Seine,France
N3qmHLYd,48.383793,54.31816,Ulyanovsk,Russia
jVLPeLP6,-80.60811,28.083628,Melbourne FL,United States
qFMDGdFf,-79.92473,46.367947,West Nipissing,Canada
XL9NeYpB,-106.60555,35.085335,Albuquerque NM,United States
HsGGfjBJ,-67.99721,10.157931,Valencia,Venezuela
ukaRLNA6,-77.586105,44.179012,Quinte West,Canada
3DGc0MJn,17.466831,50.86085,Brzeg,Poland
cUVdRfFI,-75.326645,2.6851058,Campoalegre,Colombia
r4E9T7xr,3.0587926,36.75377,Algiers,Algeria
_SkUJzKN,15.19654,40.250526,Salento,Italy
rzGOWNJY,4.0986457,48.319107,Pont-Sainte-Marie,France
ILoO0fBh,6.559114,53.393295,Warffum,Netherlands
tpbh5z4A,57.973083,23.29689,Samail,Oman
MExvzuYU,100.474686,7.0086203,Hat Yai,Thailand
X2bBm3Rg,-4.486076,48.390392,Brest,France
xvDkTXBg,45.435944,35.557045,Sulaymaniyah,Iraq
rL7zXHpA,-97.330765,32.75549,Fort Worth TX,United States
aibYnQZY,-48.670204,-27.64556,Palhoça SC,Brazil
4WXUvXRp,23.313683,55.93491,Šiauliai,Lithuania
eoQ63Xb7,-82.44278,8.400728,David,Panama
stGmBreU,-96.47432,16.954374,Tlacolula de Matamoros,Mexico
DcAYEnIB,-0.7117137,39.38976,Turís,Spain
n9sR41ow,-49.071743,-26.91662,Blumenau SC,Brazil
ZLcwnWkT,2.035041,41.34584,Sant Boi de Llobregat,Spain
B5V4XUBi,-90.66457,42.500557,Dubuque IA,United States
E8VuzNNU,-74.07209,4.7109885,Bogotá,Colombia
LsP5QTo5,-2.1575332,53.410633,Stockport,United Kingdom
eLR6TldF,-0.2405299,52.5695,Peterborough,United Kingdom
hxAjBpRv,9.993682,53.551086,Hamburg,Germany
IB2SYvRz,-8.696278,41.184437,Matosinhos,Portugal
OUxwc0dv,98.985344,18.789492,Chiang Mai,Thailand
UZv4n4nI,-98.86512,48.112778,Devils Lake ND,United States
oCbkKDWy,16.502066,41.242725,Bisceglie,Italy
DhryINI6,11.930096,45.444054,Cadoneghe,Italy
L8SlenaN,-96.7311,43.544598,Sioux Falls SD,United States
A6ajr976,-122.71406,38.44043,Santa Rosa CA,United States
XHGkRt7f,-45.942013,-22.248037,Pouso Alegre MG,Brazil
aaLuyx7C,-90.1994,38.627003,St. Louis MO,United States
bg1fM50A,-0.4906855,38.345997,Alicante,Spain
Dc8xYjp4,-78.47668,38.029305,Charlottesville VA,United States
yxD7EL06,-15.586018,27.760561,Maspalomas,Spain
xKI8ec39,10.211802,45.541553,Brescia,Italy
hQV36sMn,-2.094278,57.149715,Aberdeen,United Kingdom
LQj2VMB3,8.857442,56.79556,Nykobing Mors,Denmark
Y6wrgBDr,-76.62469,39.16261,Glen Burnie MD,United States
YPbbmO9E,3.5558784,51.394527,Breskens,Netherlands
0Bc62T1W,0.90921,47.591908,Château Renault,France
nX29msRj,5.942357,45.867138,Rumilly,France
qRr9wBHH,-75.51382,5.070275,Manizales,Colombia
xHj1dzNk,-2.997664,51.584152,Newport,United Kingdom
RJsTwS5v,92.89325,56.01528,Krasnoyarsk,Russia
DySRBHdL,2.1734035,41.385063,Barcelona,Spain
la3KaC_8,12.672222,42.988888,Spello,Italy
